Category,,ID,URL,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Description
bioverita,,20,https://www.sativa.bio/en/lady-lou-ks-bioverita-pa70,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.","pointed, slightly larger",,,,,,,LADY,"LOU KS
 pa70
Shiny, orange and slim pointed pepper bred at the Lake Konstanz. Sweet and fruity flavor with few seeds, suitable for snacking. The low weight of the individual peppers is offset by their high number.
Fruit type: pointed, slightly larger"
bioverita,,21,https://www.sativa.bio/en/lila-lu-sg-bioverita-ka54,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,"fresh, storage",,,,LILA,"LU SG
  ka54
Purple carrots with an orange centre and pleasantly sweet taste. Medium-strong leaves. The purple pigmentation is attributed to a high proportion of anthocyanin, which is thought be healthy. In isolated cases, orange-coloured carrots may form.
Use: fresh, storage"
bioverita,,22,https://www.sativa.bio/en/macun-ks-bioverita-zs11,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,white-yellow,,,Harvest: winter (after forcing); ,,,MACUN,"KS
  zs11
Open-pollinated, newly-bred variety for early to late forcing. Uniform and high-yielding. No need for soil-cover when forcing.
Colour: white-yellow
Harvest: winter (after forcing)"
bioverita,,23,https://www.sativa.bio/en/mauro-rosso-bioverita-to65,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",processing,,4.5 cm,,,,,MAURO,"ROSSO
  to65
Industrial variety for outdoor cultivation south of the Alps in Italy. Intense taste, suitable for processing, for example into tomato sauce, high resistance to fungal diseases. Good yield.
Ø fruit: 4.5 cm
Type: processing"
bioverita,,24,https://www.sativa.bio/en/melonga-bioverita-au11,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",elongated,,,,,,,MELONGA,"au11
Bred by Sativa. Crops early. The slender fruits grow to 22-25 cm in length and approx. 8 cm in diameter. Skin strongly purple-coloured and glossy.
Fruit type: elongated"
bioverita,,25,https://www.sativa.bio/en/meronda-bioverita-au10,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",pear shaped,,,,,,,MERONDA,"au10
Bred by Sativa. Crops early. The pearshaped fruits grow to 16-18 cm in length and 10-12 cm in diameter. Skin strongly purple-coloured and glossy.
Fruit type: pear shaped"
bioverita,,26,Product URL,null,null,null,null,,,,,,,,nan,nan
bioverita,,27,https://www.sativa.bio/en/mezdi-ks-bioverita-zu59,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",sweet corn,,,,,,,MEZDI,"KS
  zu59
Extremely sweet, bred by Sativa. Medium-early sweet corn with large, yellow cobs, which are ready for harvesting 100 days after sowing.
Type: sweet corn"
bioverita,,28,https://www.sativa.bio/en/nantaise-2-milan-ks-bioverita-ka45,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",,,,"fresh, storage",,,,NANTAISE,"2 MILAN KS
 ka45
Suitable both for early propagation as well as a carrot for washing and bunching, and later in the year for storage. Pleasant 'rounded' taste, smooth, after washing, reveals its bright orange skin.
Use: fresh, storage"
bioverita,,29,https://www.sativa.bio/en/northern-snow-sg-bioverita-pa90,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.",,,,,Saat: gut e.V. from Northern Germany.; ,,,NORTHERN,"SNOW SG
  pa90
Vigorous parsnip with healthy foliage. The roots grow long and have a slightly conical shape. Organic variety bred by Saat:gut e.V. from Northern Germany."
bioverita,,30,https://www.sativa.bio/en/parrot-bioverita-ks90,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.","spring, summer",green,,,,,,PARROT,"ks90
Small plants with a sturdy head. Leaf structure and taste reminiscent of Batavia. Light green leaves. The plants can be planted closer together than normal. For the entire outdoor growing season.
Colour: green
Type: spring, summer"
bioverita,,31,https://www.sativa.bio/en/porthos-ks-bioverita-se54,0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Primed seeds: During priming, the germination process is activated for faster and more uniform emergence. The priming effect is only maintained for a few weeks. This seed should be stored cool (approx. 5°C), dry and dark. The primed seeds in our range are primed using a biocompatible technique.",white celeriac,,,,,,,PORTHOS,"KS
  se54
White-fleshed variety bred by Sativa. Forms large, round and smooth tuber with strong foliage. Small root stock for easier harvest and less cleaning. This variety is bolt-resistant and highly resistant to septoria and has a distinct celeriac flavor.
Type: white celeriac"
bioverita,,32,https://www.sativa.bio/en/pulcina-bioverita-to06,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",date,,2x3 cm,,,,,PULCINA,"to06
Shiny red date tomato bred by Sativa. Rich panicles. The fruits are burst-resistant, very sweet with excellent flavor. Plants with an open, airy structure. Only for greenhouse cultivation.
Ø fruit: 2x3 cm
Type: date"
bioverita,,33,https://www.sativa.bio/en/rasmus-ks-bioverita-ko20,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",early summer and autumn,,,,,,,RASMUS,"KS
 ko20
Strong medium-growing broccoli with gray-green leaves. Solid, fine-grained, big flowering stems. Strong, non-woody stalk. After main harvest side shoots can be harvested as broccoli sprouts. Mild, fine aromatic taste.
Type: early summer and autumn"
bioverita,,34,https://www.sativa.bio/en/robuschka-ks-bioverita-ra12,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Seed tape (portion content: 1 seed tape of 5m): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,red,,,,,,ROBUSCHKA,"KS
  ra12
Round, dark-red, almost without layers. Green foliage, vigorous - the right choice for most requirements. Stores well.
Colour: red"
bioverita,,35,https://www.sativa.bio/en/rodelika-ks-bioverita-ka32,null,0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,storage,,,,RODELIKA,"KS
  ka32
Variety particularly notable for its strong, sweet, aromatic taste. The carrots are long with blunt tips and a smooth skin. For storage, but also for industrial cultivation.
Use: storage"
bioverita,,36,https://www.sativa.bio/en/rodynda-ks-bioverita-ko72,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",red cabbage,,,storage,,,,RODYNDA,"KS
  ko72
Vigorously growing variety, short stem, strong rooting system, tough outer leaf. Tall oval head with short inside stem, stores well.
Use: storage
Type: red cabbage"
bioverita,,37,https://www.sativa.bio/en/ruthje-ks-bioverita-to60,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",regular fruit,,4 cm,,,,,RUTHJE,"KS
 to60
Variety that produces a large crop of bright red fruit with excellent taste. Tomatoes can be left on the plant for a long time. Compact growth habit, plants require little feeding.
Ø fruit: 4 cm
Type: regular fruit"
bioverita,,38,https://www.sativa.bio/en/saiko-bioverita-gu28,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",Suyo Long,,,,,,,NEW,"SAIKO
 gu28
The cucumbers are long, ribbed and slightly prickly. Harvested young, the cucumbers are almost seedless and very crisp. The taste is very good, slightly sweetish and not bitter. Also suitable for outdoor cultivation as resistant to mildew. Training up the plants during cultivation will result in straight cucumbers.
Type: Suyo Long"
bioverita,,39,https://www.sativa.bio/en/selection-summer-sat-23-bioverita-ko53,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",,white,,fresh,,,,SELECTION,", SUMMER (SAT 23)
 ko53
White outdoor variety with vigorous foliage suitable for summer cultivation. Less likely to split and/or turn purple than other varieties. Plant a little further apart (40x40cm). Variety bred by Sativa.
Tuber colour: white
Use: fresh"
bioverita,,40,https://www.sativa.bio/en/silvia-bioverita-gu45,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",,,,,,,,SILVIA,"gu45
Exciting new organically bred variety. Small, dark green, 8 - 12 cm long cucumbers. Vigorous plants, mixed flowering variety. Does not turn bitter."
bioverita,,41,https://www.sativa.bio/en/tabiro-ks-bioverita-ko14,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",autumn,,,,,,,TABIRO,"KS
  ko14
Mid-late to late variety for autumn harvest. Self-blanching The heads are creamy white to slightly yellow and have a fine consistency. Exceptionally good and sweet taste.
Type: autumn"
bioverita,,42,https://www.sativa.bio/en/tica-ks-bioverita-to48,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",regular fruit,,6 cm,,"to: Fol 0,1; Ff 1-5; TMV 0,1,2; Verticillium.; ",,,TICA,"KS
 to48
Variety of medium vigour, medium-early, branches close together. For intensive cultivation under glass or in polytunnel. Shiny-red, flat-round and very firm fruit. Resistant to: Fol 0,1; Ff 1-5; TMV 0,1,2; Verticillium.
Ø fruit: 6 cm
Type: regular fruit"
bioverita,,43,https://www.sativa.bio/en/tramunt-ks-bioverita-zu60,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",sweet corn,,,,,,,TRAMUNT,"KS
  zu60
Extremely sweet, bred by Sativa. Medium-late sweet corn with large, yellow cobs, which are ready for harvesting 105 days after sowing.
Type: sweet corn"
bioverita,,44,https://www.sativa.bio/en/treenetaler-sg-bioverita-ka28,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.",,,,"fresh, keep",Saat: gut. Well suited for keeping but also excellent for harvesting fresh during summer. Time to harvest approx. 120 days. Split resistant variety.; ,,,TREENETALER,"SG
  ka28
Juicy variety selected for its flavor, bred by Saat:gut. Well suited for keeping but also excellent for harvesting fresh during summer. Time to harvest approx. 120 days. Split resistant variety.
Use: fresh, keep"
bioverita,,45,https://www.sativa.bio/en/trixi-ks-bioverita-to62,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.",cherry,,2.5 cm,,,,,TRIXI,"KS
 to62
Round oval, burst-resistant, bright red cherry tomato with a very good, sweet taste. Thanks to the fine plant structure and short internodes, it is easy to care for. Suitable for outdoor cultivation.
Ø fruit: 2.5 cm
Type: cherry"
bioverita,,46,https://www.sativa.bio/en/winter-giants-verdil-ks-bioverita-sp10,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.","autum and over winter, spring",,,,,,,WINTER,"GIANTS, VERDIL KS
  sp10
Medium-green, fast-growing selection of the Winter Giant lamb's lettuce (corn salad) variety, particularly suited for cultivation over winter and in spring. For sowing in late summer, as well as in March and April.
Type: autum and over winter, spring"
